operacion_cliente,operacion_cantidad_facturas,operacion_gasto_operacional,operacion_gasto_administrativo,operacion_monto,operacion_interes,operacion_mora,operacion_fecha_curse,operacion_fecha_vencimiento,operacion_fecha_pago
59,8,20000,0,536571429,0.009783,0.0,2020-07-30 07:56:11,2020-10-28 07:56:11,2020-10-28 07:56:11
60,7,10000,0,82112293,0.012748,0.0,2020-04-29 06:58:58,2020-05-29 06:58:58,2020-05-29 06:58:58
61,12,0,0,81274203,0.018342,0.0,2020-12-24 17:11:19,2021-01-23 17:11:19,2021-01-23 17:11:19
62,1,20000,0,572523759,0.014058,0.0,2020-09-04 03:08:51,2020-11-03 03:08:51,2020-11-03 03:08:51
63,10,0,0,380311914,0.015828,0.0,2022-10-01 08:19:35,2022-10-31 08:19:35,2022-10-31 08:19:35
64,4,0,0,632886804,0.012866,0.0,2023-10-04 22:35:31,2023-12-03 22:35:31,2023-12-03 22:35:31
65,7,0,0,625171480,0.012297,0.0,2020-04-10 08:33:01,2020-05-10 08:33:01,2020-05-10 08:33:01
66,5,30000,0,94513243,0.012198,56185.45745889145,2023-09-06 00:29:57,2023-11-05 00:29:57,2023-11-07 00:29:57
67,12,30000,0,974211440,0.015227,0.0,2022-08-10 12:22:07,2022-10-09 12:22:07,2022-10-09 12:22:07
68,4,20000,20000,824058590,0.016802,6006037.506307662,2020-02-14 14:03:36,2020-05-14 14:03:36,2020-06-18 14:03:36
69,6,10000,0,393355838,0.015353,0.0,2020-07-15 17:53:15,2020-10-13 17:53:15,2020-10-13 17:53:15
70,6,20000,0,322271997,0.020827,0.0,2023-09-25 21:53:28,2023-10-25 21:53:28,2023-10-25 21:53:28
71,1,30000,0,728189858,0.021355,0.0,2021-11-05 00:37:21,2021-12-05 00:37:21,2021-12-05 00:37:21
72,8,0,0,316825315,0.025863,0.0,2023-07-11 23:21:50,2023-09-09 23:21:50,2023-09-09 23:21:50
73,1,0,0,102935069,0.02371,0.0,2023-10-15 08:58:00,2024-01-13 08:58:00,2024-01-13 08:58:00
74,11,0,0,435215052,0.015206,0.0,2022-01-11 09:23:35,2022-03-12 09:23:35,2022-03-12 09:23:35
75,3,20000,0,28605248,0.010438,61352.62395402305,2021-10-16 10:21:01,2021-11-15 10:21:01,2021-12-08 10:21:01
76,11,0,0,547737128,0.025517,0.0,2022-07-06 16:23:57,2022-08-05 16:23:57,2022-08-05 16:23:57
77,5,20000,0,646257895,0.015235,1078312.7249163715,2022-12-16 22:47:46,2023-02-14 22:47:46,2023-02-20 22:47:46
78,5,10000,0,630760682,0.026361,2564306.262538759,2023-10-20 17:07:35,2023-12-19 17:07:35,2024-01-11 17:07:35
79,9,20000,0,388579512,0.027944,489075.67783563584,2020-10-21 15:43:54,2020-12-20 15:43:54,2021-01-22 15:43:54
80,2,10000,0,954624959,0.011102,0.0,2023-02-21 09:48:42,2023-03-23 09:48:42,2023-03-23 09:48:42
81,11,10000,0,708555461,0.013996,0.0,2021-10-09 01:50:21,2021-11-08 01:50:21,2021-11-08 01:50:21
82,2,10000,0,78669842,0.010555,0.0,2022-10-01 18:23:57,2022-10-31 18:23:57,2022-10-31 18:23:57
83,10,0,0,957941772,0.009566,0.0,2021-03-07 19:12:13,2021-05-06 19:12:13,2021-05-06 19:12:13
84,9,0,0,574214385,0.028481,0.0,2021-12-12 10:40:40,2022-01-11 10:40:40,2022-01-11 10:40:40
85,10,10000,0,745296640,0.017229,5217580.266629508,2022-08-02 08:27:57,2022-10-01 08:27:57,2022-10-28 08:27:57
86,2,20000,0,239072743,0.02458,0.0,2022-04-09 03:32:23,2022-05-09 03:32:23,2022-05-09 03:32:23
87,12,0,0,607146381,0.019677,9867308.592230123,2021-06-28 09:51:39,2021-09-26 09:51:39,2021-11-22 09:51:39
88,8,10000,0,127672578,0.026497,0.0,2022-04-15 00:28:29,2022-06-14 00:28:29,2022-06-14 00:28:29
89,9,0,0,698437856,0.020927,4547130.879977423,2021-04-02 21:55:54,2021-05-02 21:55:54,2021-05-25 21:55:54
90,7,20000,0,867932753,0.009236,0.0,2022-12-07 04:11:06,2023-01-06 04:11:06,2023-01-06 04:11:06
91,4,10000,0,555209678,0.009745,0.0,2023-06-27 23:42:53,2023-07-27 23:42:53,2023-07-27 23:42:53
92,4,20000,0,302528339,0.019158,0.0,2021-06-16 07:56:04,2021-09-14 07:56:04,2021-09-14 07:56:04
93,10,20000,0,718947884,0.012999,0.0,2022-12-30 14:39:06,2023-02-28 14:39:06,2023-02-28 14:39:06
94,3,10000,0,667168082,0.014546,0.0,2023-11-28 01:41:01,2024-02-26 01:41:01,2024-02-26 01:41:01
95,11,10000,0,205966891,0.021968,0.0,2020-10-16 09:48:18,2020-12-15 09:48:18,2020-12-15 09:48:18
96,12,0,0,47758643,0.029855,0.0,2022-02-21 01:46:49,2022-04-22 01:46:49,2022-04-22 01:46:49
97,5,0,50000,465434094,0.01455,0.0,2023-08-12 23:22:37,2023-10-11 23:22:37,2023-10-11 23:22:37
98,3,10000,0,703921675,0.012813,0.0,2021-12-15 14:35:18,2022-01-14 14:35:18,2022-01-14 14:35:18
99,10,0,0,999165061,0.010842,0.0,2022-07-08 20:14:21,2022-10-06 20:14:21,2022-10-06 20:14:21
100,9,20000,0,781279337,0.023483,0.0,2023-01-30 15:48:11,2023-04-30 15:48:11,2023-04-30 15:48:11
101,11,20000,0,275344263,0.02391,0.0,2021-11-20 19:07:36,2021-12-20 19:07:36,2021-12-20 19:07:36
102,12,0,0,279555786,0.011281,0.0,2020-07-12 17:51:31,2020-09-10 17:51:31,2020-09-10 17:51:31
103,4,30000,20000,842579211,0.027409,0.0,2020-06-25 07:37:52,2020-08-24 07:37:52,2020-08-24 07:37:52
104,12,0,0,549450116,0.018065,0.0,2021-07-21 01:22:44,2021-09-19 01:22:44,2021-09-19 01:22:44
105,6,0,0,214807390,0.023501,1573452.5525083886,2022-08-02 19:42:23,2022-10-01 19:42:23,2022-10-29 19:42:23
106,9,10000,0,39718310,0.013478,0.0,2023-03-16 21:59:44,2023-05-15 21:59:44,2023-05-15 21:59:44
107,2,30000,0,214841170,0.029491,0.0,2022-01-25 09:46:35,2022-03-26 09:46:35,2022-03-26 09:46:35
108,11,30000,0,105395622,0.02637,206141.5741370041,2020-04-26 11:43:51,2020-05-26 11:43:51,2020-06-18 11:43:51
109,9,30000,0,729255769,0.023394,6030175.762896219,2021-05-29 03:30:30,2021-07-28 03:30:30,2021-09-13 03:30:30
110,8,20000,0,534051505,0.018522,0.0,2023-12-07 16:33:43,2024-02-05 16:33:43,2024-02-05 16:33:43
111,10,0,0,6817836,0.024572,0.0,2023-03-01 04:17:50,2023-03-31 04:17:50,2023-03-31 04:17:50
112,9,10000,0,286436042,0.029749,0.0,2023-01-31 07:45:35,2023-03-02 07:45:35,2023-03-02 07:45:35
113,6,0,0,202350510,0.009858,0.0,2022-02-21 21:29:43,2022-04-22 21:29:43,2022-04-22 21:29:43
114,8,0,0,870330541,0.020537,0.0,2021-05-28 04:24:48,2021-07-27 04:24:48,2021-07-27 04:24:48
115,7,30000,0,643780682,0.028549,0.0,2023-08-26 11:22:02,2023-09-25 11:22:02,2023-09-25 11:22:02
116,1,30000,0,725210483,0.021033,4767678.505786019,2022-02-22 09:31:24,2022-05-23 09:31:24,2022-06-27 09:31:24
117,3,0,0,239810960,0.021352,0.0,2020-03-20 20:30:08,2020-04-19 20:30:08,2020-04-19 20:30:08
118,5,10000,0,512661003,0.02121,0.0,2020-04-10 02:53:31,2020-07-09 02:53:31,2020-07-09 02:53:31
119,8,20000,0,13076688,0.015955,0.0,2023-02-20 02:15:24,2023-04-21 02:15:24,2023-04-21 02:15:24
120,11,20000,0,358507572,0.010239,0.0,2020-10-02 10:59:18,2020-12-31 10:59:18,2020-12-31 10:59:18
121,4,20000,20000,259058540,0.013231,0.0,2021-04-27 00:28:29,2021-06-26 00:28:29,2021-06-26 00:28:29
122,7,10000,0,100185008,0.009826,0.0,2022-08-06 17:19:45,2022-09-05 17:19:45,2022-09-05 17:19:45
123,5,0,0,261897681,0.023738,0.0,2020-01-11 01:30:23,2020-03-11 01:30:23,2020-03-11 01:30:23
124,8,20000,0,523425066,0.011163,0.0,2021-09-26 04:03:33,2021-10-26 04:03:33,2021-10-26 04:03:33
125,1,10000,0,181702436,0.011863,0.0,2021-09-13 23:17:05,2021-10-13 23:17:05,2021-10-13 23:17:05
126,9,10000,0,809836224,0.015789,0.0,2022-02-01 18:19:01,2022-03-03 18:19:01,2022-03-03 18:19:01
127,11,0,0,238319260,0.020249,0.0,2020-06-08 02:36:54,2020-07-08 02:36:54,2020-07-08 02:36:54
128,3,10000,0,13854706,0.020939,31463.10101239018,2023-08-29 10:13:27,2023-09-28 10:13:27,2023-10-21 10:13:27
129,10,20000,0,432888254,0.019706,0.0,2023-09-05 11:04:06,2023-10-05 11:04:06,2023-10-05 11:04:06
130,5,30000,0,143013943,0.029316,0.0,2022-01-06 23:13:02,2022-04-06 23:13:02,2022-04-06 23:13:02
131,11,0,0,811824402,0.0251,0.0,2022-08-19 11:50:27,2022-09-18 11:50:27,2022-09-18 11:50:27
132,9,10000,0,69311090,0.024643,0.0,2020-02-24 09:18:20,2020-04-24 09:18:20,2020-04-24 09:18:20
133,11,20000,0,685981453,0.024633,0.0,2023-05-02 07:29:24,2023-07-31 07:29:24,2023-07-31 07:29:24
134,5,0,0,3900992,0.017107,0.0,2022-01-04 02:22:50,2022-02-03 02:22:50,2022-02-03 02:22:50
135,2,30000,0,421359695,0.015732,0.0,2023-02-02 12:20:15,2023-04-03 12:20:15,2023-04-03 12:20:15
136,1,30000,0,269001495,0.021189,0.0,2022-12-12 11:41:25,2023-03-12 11:41:25,2023-03-12 11:41:25
137,2,0,10000,385333088,0.01665,0.0,2020-03-04 13:58:11,2020-05-03 13:58:11,2020-05-03 13:58:11
138,11,0,0,624785356,0.016626,0.0,2021-10-02 22:07:13,2021-11-01 22:07:13,2021-11-01 22:07:13
139,7,10000,0,650611694,0.010338,5119470.923987969,2021-12-20 10:16:19,2022-01-19 10:16:19,2022-03-05 10:16:19
140,1,30000,10000,817094733,0.012677,0.0,2021-03-18 10:52:50,2021-05-17 10:52:50,2021-05-17 10:52:50
141,6,10000,0,705786246,0.027423,0.0,2020-01-23 07:37:17,2020-02-22 07:37:17,2020-02-22 07:37:17
142,2,0,0,42604912,0.015754,422832.5111409227,2022-01-25 21:50:55,2022-02-24 21:50:55,2022-03-30 21:50:55
143,2,10000,0,927732195,0.011537,0.0,2021-06-23 21:44:48,2021-08-22 21:44:48,2021-08-22 21:44:48
144,3,20000,0,730645132,0.011369,1738903.1382055187,2020-12-06 21:25:28,2021-02-04 21:25:28,2021-03-16 21:25:28
145,3,30000,0,368018469,0.019557,0.0,2021-09-24 18:00:36,2021-11-23 18:00:36,2021-11-23 18:00:36
146,4,0,0,792255875,0.017644,0.0,2021-11-08 04:02:40,2022-02-06 04:02:40,2022-02-06 04:02:40
147,7,0,0,2227047,0.026027,0.0,2021-10-08 07:10:27,2021-12-07 07:10:27,2021-12-07 07:10:27
148,9,10000,0,454917616,0.01081,0.0,2021-10-02 18:13:22,2021-12-01 18:13:22,2021-12-01 18:13:22
149,7,10000,0,563699316,0.029157,0.0,2021-07-23 03:07:36,2021-08-22 03:07:36,2021-08-22 03:07:36
150,11,30000,0,645530028,0.011399,0.0,2020-01-04 18:57:36,2020-03-04 18:57:36,2020-03-04 18:57:36
151,8,0,0,231341513,0.013375,0.0,2021-09-02 10:20:01,2021-10-02 10:20:01,2021-10-02 10:20:01
152,11,10000,0,915960823,0.026437,7984473.493976233,2022-10-26 16:20:09,2022-11-25 16:20:09,2022-12-27 16:20:09
153,8,0,0,510444972,0.016719,0.0,2020-03-03 08:08:22,2020-04-02 08:08:22,2020-04-02 08:08:22
154,8,30000,0,38261057,0.01521,0.0,2023-06-29 15:22:40,2023-09-27 15:22:40,2023-09-27 15:22:40
155,12,0,0,575828454,0.026629,0.0,2021-04-21 17:32:19,2021-06-20 17:32:19,2021-06-20 17:32:19
156,2,10000,0,130955289,0.016885,0.0,2021-02-18 19:14:29,2021-04-19 19:14:29,2021-04-19 19:14:29
157,7,10000,0,936679345,0.025683,0.0,2022-12-20 07:56:55,2023-02-18 07:56:55,2023-02-18 07:56:55
158,11,10000,0,858771918,0.022152,5218606.850764395,2021-07-17 13:16:20,2021-10-15 13:16:20,2021-11-07 13:16:20
159,8,30000,0,433160556,0.012874,0.0,2020-01-20 09:01:19,2020-03-20 09:01:19,2020-03-20 09:01:19
160,3,0,0,404532461,0.019025,0.0,2020-01-28 12:35:09,2020-03-28 12:35:09,2020-03-28 12:35:09
161,5,10000,0,71639187,0.01863,0.0,2023-06-25 18:21:23,2023-09-23 18:21:23,2023-09-23 18:21:23
162,11,10000,0,337861744,0.016659,0.0,2021-10-04 19:12:03,2021-11-03 19:12:03,2021-11-03 19:12:03
163,9,30000,0,891337136,0.021905,0.0,2022-02-06 03:11:40,2022-05-07 03:11:40,2022-05-07 03:11:40
164,11,20000,0,732560558,0.016714,0.0,2022-06-03 22:45:06,2022-08-02 22:45:06,2022-08-02 22:45:06
165,10,20000,0,898739721,0.022237,0.0,2022-10-25 15:56:39,2023-01-23 15:56:39,2023-01-23 15:56:39
166,4,10000,20000,301135703,0.014783,0.0,2020-10-23 13:41:01,2020-11-22 13:41:01,2020-11-22 13:41:01
167,7,0,0,385156749,0.029776,6503053.059938619,2022-12-25 20:11:01,2023-01-24 20:11:01,2023-03-24 20:11:01
168,8,20000,0,499056967,0.012391,0.0,2022-05-09 00:40:52,2022-07-08 00:40:52,2022-07-08 00:40:52
169,2,10000,0,268832693,0.021645,0.0,2023-12-16 05:13:59,2024-01-15 05:13:59,2024-01-15 05:13:59
170,6,10000,0,900319786,0.029751,0.0,2022-10-15 17:41:36,2023-01-13 17:41:36,2023-01-13 17:41:36
171,3,20000,0,900189513,0.017519,0.0,2021-09-20 13:29:40,2021-10-20 13:29:40,2021-10-20 13:29:40
172,4,10000,20000,492312060,0.018424,0.0,2021-07-23 07:47:52,2021-09-21 07:47:52,2021-09-21 07:47:52
173,3,0,0,872958935,0.017636,7851167.533978035,2023-10-19 07:06:02,2023-11-18 07:06:02,2023-12-28 07:06:02
174,4,10000,0,933398512,0.011098,445237.807478413,2021-08-05 16:34:15,2021-10-04 16:34:15,2021-10-27 16:34:15
175,8,0,0,423459121,0.021508,0.0,2021-02-26 23:21:45,2021-05-27 23:21:45,2021-05-27 23:21:45
176,8,20000,0,207640256,0.022068,0.0,2020-01-07 14:14:09,2020-03-07 14:14:09,2020-03-07 14:14:09
177,4,10000,0,31102946,0.013692,0.0,2021-08-10 05:38:20,2021-09-09 05:38:20,2021-09-09 05:38:20
178,8,10000,0,173749325,0.018922,0.0,2020-11-27 14:33:06,2020-12-27 14:33:06,2020-12-27 14:33:06
179,6,0,0,417033638,0.026699,0.0,2023-10-25 00:11:45,2024-01-23 00:11:45,2024-01-23 00:11:45
180,3,0,0,228681321,0.014433,0.0,2021-06-29 01:24:38,2021-09-27 01:24:38,2021-09-27 01:24:38
181,7,0,0,98757254,0.009024,0.0,2022-10-21 07:43:19,2022-11-20 07:43:19,2022-11-20 07:43:19
182,7,30000,0,326812038,0.028928,0.0,2022-05-08 22:19:52,2022-08-06 22:19:52,2022-08-06 22:19:52
183,1,0,0,507490859,0.013662,0.0,2020-06-19 22:45:01,2020-09-17 22:45:01,2020-09-17 22:45:01
184,8,10000,0,496470773,0.019887,0.0,2021-11-30 05:32:41,2021-12-30 05:32:41,2021-12-30 05:32:41
185,8,10000,0,877113023,0.019384,0.0,2022-12-02 04:12:08,2023-01-01 04:12:08,2023-01-01 04:12:08
186,7,30000,0,11827043,0.022603,60499.79942746174,2023-05-05 06:54:26,2023-06-04 06:54:26,2023-07-28 06:54:26
187,1,30000,10000,454274965,0.018426,0.0,2020-06-13 11:19:21,2020-07-13 11:19:21,2020-07-13 11:19:21
188,1,0,0,92676413,0.025508,0.0,2023-09-03 10:11:23,2023-10-03 10:11:23,2023-10-03 10:11:23
189,6,10000,0,48386833,0.022144,0.0,2020-12-19 23:17:05,2021-03-19 23:17:05,2021-03-19 23:17:05
190,12,0,0,566915785,0.011342,0.0,2023-10-21 02:52:02,2024-01-19 02:52:02,2024-01-19 02:52:02
191,9,0,0,568514056,0.017691,0.0,2021-01-04 07:46:05,2021-02-03 07:46:05,2021-02-03 07:46:05
192,2,10000,0,661162867,0.027566,0.0,2023-03-14 22:48:17,2023-04-13 22:48:17,2023-04-13 22:48:17
193,6,0,0,609492146,0.013139,0.0,2020-06-26 12:22:27,2020-08-25 12:22:27,2020-08-25 12:22:27
194,4,0,0,435832827,0.019762,0.0,2022-02-15 02:25:04,2022-03-17 02:25:04,2022-03-17 02:25:04
195,11,0,0,874284580,0.028104,0.0,2023-07-25 17:55:20,2023-10-23 17:55:20,2023-10-23 17:55:20
196,6,30000,0,241350968,0.010098,0.0,2021-04-19 22:42:31,2021-05-19 22:42:31,2021-05-19 22:42:31
197,6,30000,0,142446981,0.02731,0.0,2023-01-13 08:04:25,2023-03-14 08:04:25,2023-03-14 08:04:25
198,12,20000,0,42257567,0.028317,0.0,2021-11-09 23:18:09,2021-12-09 23:18:09,2021-12-09 23:18:09
199,7,0,0,811768338,0.017981,0.0,2020-02-13 00:32:19,2020-03-14 00:32:19,2020-03-14 00:32:19
200,2,10000,0,352305858,0.017262,0.0,2020-09-29 19:29:51,2020-11-28 19:29:51,2020-11-28 19:29:51
201,11,0,0,22613671,0.019093,0.0,2022-12-05 07:09:18,2023-03-05 07:09:18,2023-03-05 07:09:18
202,1,0,10000,136879313,0.023916,24538.03503653388,2020-02-10 17:37:21,2020-03-11 17:37:21,2020-03-14 17:37:21
203,7,30000,0,976866013,0.015682,0.0,2022-05-30 19:56:26,2022-07-29 19:56:26,2022-07-29 19:56:26
204,6,30000,0,785891263,0.024941,0.0,2020-06-12 13:28:12,2020-07-12 13:28:12,2020-07-12 13:28:12
205,6,20000,0,745346540,0.009081,0.0,2020-11-07 16:19:23,2020-12-07 16:19:23,2020-12-07 16:19:23
206,6,0,0,209851391,0.015835,0.0,2020-02-08 17:05:11,2020-04-08 17:05:11,2020-04-08 17:05:11
207,11,30000,0,609353884,0.023552,0.0,2022-11-26 21:25:32,2023-01-25 21:25:32,2023-01-25 21:25:32
208,4,20000,0,659108772,0.024607,625624.574247276,2020-03-25 11:23:01,2020-04-24 11:23:01,2020-06-16 11:23:01
209,4,0,20000,15176395,0.018845,0.0,2021-11-27 00:47:25,2022-01-26 00:47:25,2022-01-26 00:47:25
210,12,20000,0,922792717,0.019399,2968779.1817102786,2020-04-18 03:14:04,2020-06-17 03:14:04,2020-07-12 03:14:04
211,2,0,0,847911594,0.020231,0.0,2021-02-13 00:38:32,2021-03-15 00:38:32,2021-03-15 00:38:32
212,9,30000,0,557975619,0.028167,809517.9362655281,2022-01-10 07:03:16,2022-02-09 07:03:16,2022-03-17 07:03:16
213,7,10000,0,427972949,0.028471,0.0,2021-09-21 23:54:39,2021-10-21 23:54:39,2021-10-21 23:54:39
214,3,0,0,473110062,0.026482,0.0,2022-10-07 09:16:15,2022-11-06 09:16:15,2022-11-06 09:16:15
215,3,30000,0,555633895,0.016897,0.0,2023-12-18 23:32:11,2024-02-16 23:32:11,2024-02-16 23:32:11
216,10,10000,0,136597671,0.015054,0.0,2020-02-08 14:43:29,2020-04-08 14:43:29,2020-04-08 14:43:29
217,2,30000,0,406407342,0.013308,0.0,2021-02-01 16:16:50,2021-03-03 16:16:50,2021-03-03 16:16:50
218,11,10000,0,425827577,0.017866,6272838.170655934,2023-05-28 07:06:48,2023-07-27 07:06:48,2023-09-15 07:06:48
219,9,10000,0,891710285,0.009018,0.0,2020-01-11 16:31:49,2020-02-10 16:31:49,2020-02-10 16:31:49
220,11,10000,0,463301332,0.028781,0.0,2023-01-31 20:14:26,2023-03-02 20:14:26,2023-03-02 20:14:26
221,4,20000,0,397173067,0.029195,0.0,2023-09-07 13:15:43,2023-11-06 13:15:43,2023-11-06 13:15:43
222,2,30000,0,551458721,0.018318,0.0,2022-09-19 10:39:29,2022-10-19 10:39:29,2022-10-19 10:39:29
223,5,30000,0,484143313,0.029845,0.0,2022-03-21 12:53:00,2022-06-19 12:53:00,2022-06-19 12:53:00
